"sample"	"type"	"seqdepth"
"X_N10_Nuria_S301_L001"	"X_N10_Nuria_S301_L001"	"X"	13472
"X_N11_Nuria_S302_L001"	"X_N11_Nuria_S302_L001"	"X"	173839
"X_N12_Nuria_S303_L001"	"X_N12_Nuria_S303_L001"	"X"	387184
"X_N1_Nuria_S292_L001"	"X_N1_Nuria_S292_L001"	"X"	1301
"X_N2_Nuria_S293_L001"	"X_N2_Nuria_S293_L001"	"X"	409
"X_N3_Nuria_S294_L001"	"X_N3_Nuria_S294_L001"	"X"	1785
"X_N4_Nuria_S295_L001"	"X_N4_Nuria_S295_L001"	"X"	41
"X_N5_Nuria_S296_L001"	"X_N5_Nuria_S296_L001"	"X"	2413
"X_N6_Nuria_S297_L001"	"X_N6_Nuria_S297_L001"	"X"	237351
"X_N7_Nuria_S298_L001"	"X_N7_Nuria_S298_L001"	"X"	254493
"X_N8_Nuria_S299_L001"	"X_N8_Nuria_S299_L001"	"X"	5897
"X_N9_Nuria_S300_L001"	"X_N9_Nuria_S300_L001"	"X"	4225
