size_kilobytes	n_reads	kilobytes_per_read	reads_per_kilobyte
36	100	0.36	2.77777777777778
360	1000	0.36	2.77777777777778
359500	1001000	0.359140859140859	2.78442280945758
718632	2001000	0.359136431784108	2.78445713522359
1077752	3001000	0.359130956347884	2.78449958803138
1436884	4001000	0.359131217195701	2.78449756556549
1796020	5001000	0.359132173565287	2.78449015044376
2155168	6001000	0.359134810864856	2.78446970259395
2514296	7001000	0.35913383802314	2.78447724532036
2873448	8001000	0.359136107986502	2.78445964569395
3232596	9001000	0.359137429174536	2.78444940227607
3591716	10001000	0.359135686431357	2.78446291410568
3950860	11001000	0.359136442141623	2.78445705491969
4309996	12001000	0.359136405299558	2.78445734056366
4669112	13001000	0.359134835781863	2.78446950940564
5028252	14001000	0.359135204628241	2.78446664964286
5387408	15001000	0.35913659089394	2.78445590161354
5746540	16001000	0.359136303981001	2.78445812610719
